osmid	x	y	primary
1804229167	-21.8884733	64.1041738	False
1804229168	-21.8894248	64.1041124	False
1804229170	-21.8910153	64.1029091	False
1804229174	-21.8903731	64.1038156	False
1804229176	-21.8918732	64.102659	False
1804229181	-21.8907957	64.1033948	False
1804229184	-21.8904635	64.1040519	False
1804229188	-21.8924631	64.1036623	False
1804229190	-21.8850669	64.1032835	False
1804229192	-21.8912497	64.103766	False
1804229198	-21.8930166	64.1025647	False
1804229201	-21.8914629	64.1037481	False
1804229202	-21.8910875	64.1033724	False
1805892390	-21.8796438	64.1315292	False
1809875196	-21.8541096	64.1405443	False
1809875200	-21.8543185	64.1410208	False
1809904304	-21.8890009	64.1091924	False
1809904307	-21.8900766	64.1119989	False
1809904315	-21.8899698	64.1127683	False
1812907441	-22.0150593	64.1070337	False
1812907455	-22.0143212	64.1078405	False
1812907459	-22.0151909	64.1080177	False
1812907460	-22.0137987	64.1080401	False
1812907462	-22.0149082	64.1081277	False
1813897546	-21.5768565	64.0560421	False
1813897809	-21.5819283	64.0624798	True
1816522047	-21.6724419	64.1710811	False
1819092533	-21.8128637	64.0809168	False
1819092551	-21.8100368	64.0842415	False
1819092557	-21.8109467	64.084774	False
1819092559	-21.8140089	64.0815284	False
1819092562	-21.8127994	64.0841029	False
1819092564	-21.8126947	64.0810059	False
1819092568	-21.8122551	64.0830409	False
1819092573	-21.8087145	64.0818768	False
1819092581	-21.8133247	64.0812097	False
1819092605	-21.8150337	64.0820693	False
1819092608	-21.8097115	64.082234	False
1819092612	-21.8125893	64.0841714	False
1819092615	-21.8122309	64.0834842	False
1819092616	-21.8135895	64.0843332	False
1819092619	-21.8116515	64.0836693	False
1819098309	-21.8073224	64.0800857	False
1819098324	-21.8176569	64.0800188	False
1819098327	-21.8058057	64.0806378	False
1819098333	-21.8034212	64.0799597	False
1819098336	-21.8088706	64.0800587	False
1819098337	-21.8109058	64.080975	False
1819098340	-21.8060415	64.0821049	False
1819098344	-21.8059398	64.0813018	False
1819098346	-21.8301182	64.080866	False
1819098355	-21.8074343	64.080884	False
1819098360	-21.817531	64.0813322	False
1819098369	-21.8103853	64.0800449	False
1819098375	-21.8045996	64.08054	False
1819098379	-21.8038124	64.0807223	False
1819098381	-21.8096145	64.0812931	False
1819098383	-21.8047672	64.0797606	False
1819098404	-21.8124407	64.0808906	False
1819098408	-21.8038092	64.0801441	False
1819098413	-21.8073265	64.0817646	False
1819152399	-21.7456	64.0988349	False
1819159179	-21.7114921	64.0930415	True
1820714928	-21.4459786	64.2296934	True
1821021211	-21.9315187	64.0724515	False
1821021212	-21.931433	64.0729488	False
1821021213	-21.9395168	64.0738494	True
1822421387	-21.9389729	64.0660455	False
1824382817	-21.949482	64.0687458	False
1824382867	-21.9365389	64.0769943	False
1824382870	-21.9345232	64.0772768	False
1824382892	-21.9421184	64.0800569	True
1824382902	-21.9417225	64.0804057	True
1824382905	-21.9412398	64.0812984	False
1824382913	-21.9391456	64.0814971	False
1824549028	-21.942616	64.0733731	False
1824967486	-21.9419016	64.0708823	False
1825405566	-21.9581945	64.0703079	True
1825405567	-21.9600611	64.0711774	False
1825876100	-21.9507781	64.0693137	False
1825876260	-21.9529395	64.0698719	False
1825876350	-21.9552379	64.0700712	False
1825876629	-21.9541286	64.0706225	False
1825877152	-21.9542037	64.0718638	False
1825877189	-21.9539067	64.0720669	False
1826722267	-21.9418082	64.0946463	False
1826722271	-21.944142	64.0950292	False
1827575101	-21.9621602	64.0702393	False
1827575125	-21.9547174	64.0734975	False
1830301477	-21.9758886	64.0485652	False
1831471037	-21.9625158	64.070731	False
1831471054	-21.9627323	64.0708065	False
1831471078	-21.962246	64.0717397	False
1831471095	-21.9622641	64.071802	False
1831471097	-21.9623581	64.071847	False
1831471101	-21.9618112	64.071961	False
1831471123	-21.9576887	64.0726993	False
1831471126	-21.958071	64.0729211	False
1831471127	-21.9578832	64.0729463	False
1831471129	-21.9575863	64.0730032	False
1832546924	-21.952347	64.0791292	False
1832546927	-21.9542531	64.0793559	False
1839395432	-22.0174692	64.1000993	False
1840470106	-21.8182166	64.1470452	False
1843341852	-21.9549297	64.128804	False
1846918204	-21.9355489	64.1114467	False
1848219055	-21.8096127	64.0856269	False
1848219060	-21.8083007	64.0856998	False
1854477163	-21.5323388	64.0570759	False
1854477196	-21.5339118	64.0587761	False
1856410108	-21.8985945	64.0842443	False
1856410110	-21.9032858	64.0846538	False
1856410114	-21.906734	64.0851256	False
1856448707	-21.9744426	64.0529976	True
1856463249	-21.9481015	64.1425884	True
1856474742	-21.7535209	64.1364119	True
1858758490	-21.9768473	64.1467816	False
1859664679	-21.8676689	64.1232015	False
1863751554	-21.9535289	64.0677396	False
1864868540	-21.9172371	64.1007411	False
1865034034	-22.0090807	64.1014044	True
1865034096	-22.0098271	64.1019466	True
1865034097	-22.0093594	64.1019783	True
1865034101	-22.0099962	64.1019951	True
1865034132	-22.0091819	64.1021538	True
1865034135	-22.0101252	64.1021758	True
1865034149	-22.009314	64.1022846	True
1865034158	-22.0093898	64.1023125	True
1865034159	-22.0098345	64.1023331	True
1865034165	-22.008845	64.1023698	False
1865034200	-22.0097106	64.1027005	False
1865034239	-22.0117407	64.1088205	False
1865034244	-22.0137396	64.109602	False
1865034246	-22.0141729	64.1097811	False
1865034263	-22.0055324	64.1147928	False
1869589723	-21.6877519	64.1676185	False
1869589724	-21.6922301	64.1676311	False
1869589734	-21.6912221	64.1677066	False
1871340929	-21.8808141	64.1090945	False
1871342953	-21.9116701	64.1097081	False
1871342986	-21.9130476	64.1103795	False
1871342988	-21.9147482	64.1097419	False
1871344680	-21.9232898	64.1091544	False
1871344696	-21.9300545	64.1079997	False
1871345190	-21.9156941	64.1119246	False
1871345205	-21.9179596	64.1119834	False
1871345426	-21.9151932	64.1134032	False
1871345427	-21.9110427	64.1137157	False
1871345430	-21.917649	64.11273	False
1871346124	-21.9372286	64.1131869	False
1871346125	-21.9352966	64.1131567	False
1871346126	-21.9373635	64.1116342	False
1871346981	-21.9312866	64.1129627	False
1883139249	-21.8616148	64.1034806	False
1889922161	-21.9021872	64.1103436	False
1889922166	-21.9040141	64.1103887	False
1889922174	-21.9056939	64.1104922	False
1889922181	-21.9065187	64.1105034	True
1889922188	-21.9070371	64.1105913	False
1889922195	-21.9072944	64.1106372	False
1889922204	-21.9068982	64.11072	False
1889922214	-21.907192	64.1107706	False
1889998605	-21.6711424	64.1584985	True
1889998649	-21.7190843	64.1656652	False
1889998675	-21.7094074	64.1676112	False
1889998705	-21.7116127	64.1687244	False
1889998713	-21.7104282	64.1688653	False
1889998722	-21.6731777	64.1700334	False
1889998725	-21.7110666	64.1698482	False
1890684494	-21.7170762	64.157239	False
1890684495	-21.7220617	64.1576655	False
1890684500	-21.6811954	64.1607961	True
1890684507	-21.6874967	64.1633088	True
1890684508	-21.6891149	64.1633388	False
1890684523	-21.687895	64.1639799	False
1890684525	-21.6872145	64.1643062	False
1890684529	-21.6865514	64.1646385	False
1890684533	-21.6853827	64.1653585	False
1890684534	-21.6847411	64.1658954	False
1890684535	-21.7087561	64.1672976	False
1890684537	-21.7191389	64.1676095	False
1890684541	-21.7045941	64.1681423	False
1890684543	-21.7178624	64.1682872	False
1890684546	-21.7032211	64.1685368	False
1890684547	-21.7036391	64.1686976	False
1890684548	-21.7022837	64.1688472	False
1890684554	-21.7163751	64.1691516	False
1890684559	-21.7139382	64.1694945	False
1890684560	-21.7001413	64.1693937	False
1890684562	-21.7126238	64.1696581	False
1890684565	-21.7145956	64.1698696	False
1890684566	-21.69885	64.1698049	False
1890684574	-21.7128709	64.1700814	False
1890684581	-21.7173358	64.1703357	False
1890684583	-21.6974817	64.1703414	False
1890684584	-21.7099407	64.1704486	False
1890684588	-21.713451	64.1709816	False
1890684589	-21.6959112	64.1712086	False
1890684591	-21.7178099	64.1710984	False
1890684607	-21.7136342	64.1712908	False
1890684608	-21.7109636	64.1712858	False
1890684615	-21.7101088	64.1724634	False
1892994555	-21.6769376	64.1607363	True
1893928426	-21.9503013	64.0781167	True
1893928428	-21.9500823	64.0780967	True
1893928437	-21.949038	64.0783245	False
1893928443	-21.9508081	64.0784738	True
1893928445	-21.9506784	64.0785395	True
1893928449	-21.9497722	64.0786066	True
1893928453	-21.9499777	64.078683	True
1893957362	-21.867303	64.1136351	True
1893957364	-21.8700491	64.1136874	True
1895575264	-21.9037838	64.1111861	False
1896201758	-21.9069377	64.1107473	True
1896201817	-21.9055502	64.1122349	False
1896201825	-21.9059817	64.1125802	False
1905522965	-21.8931824	64.1102322	False
